"","Estacao","Data","Hora","Precipitacao","TempMaxima","TempMinima","Insolacao","Evaporacao_Piche","Temp_Comp_Media","UR_Media","Vel_Vent_Media","NA"
"161",83309,"22/03/1961",1200,26.4,NA,21.6,NA,NA,NA,NA,NA,NA
"162",83309,"23/03/1961",0,NA,35.4,NA,NA,3.4,27.36,77.5,1,NA
"163",83309,"23/03/1961",1200,0.5,NA,22.1,NA,NA,NA,NA,NA,NA
"164",83309,"24/03/1961",0,NA,35,NA,NA,4.4,27.56,74.25,0.333333,NA
"165",83309,"24/03/1961",1200,0,NA,22,NA,NA,NA,NA,NA,NA
"166",83309,"25/03/1961",0,NA,34.8,NA,NA,4.4,28.02,75.5,2,NA
"167",83309,"25/03/1961",1200,0,NA,23.5,NA,NA,NA,NA,NA,NA
"168",83309,"26/03/1961",0,NA,33.6,NA,NA,4.2,25.56,88.75,1.666667,NA
"169",83309,"26/03/1961",1200,1.1,NA,22.6,NA,NA,NA,NA,NA,NA
"170",83309,"27/03/1961",0,NA,33.4,NA,NA,1.9,24.62,85,1.666667,NA
"171",83309,"27/03/1961",1200,1.9,NA,21.3,NA,NA,NA,NA,NA,NA
"172",83309,"28/03/1961",0,NA,32.6,NA,NA,2.2,25.88,79.5,0.333333,NA
"173",83309,"28/03/1961",1200,40.1,NA,21.6,NA,NA,NA,NA,NA,NA
"174",83309,"29/03/1961",0,NA,34.9,NA,NA,3.4,26.96,74.5,0,NA
"175",83309,"29/03/1961",1200,0,NA,21.2,NA,NA,NA,NA,NA,NA
"176",83309,"30/03/1961",0,NA,33.6,NA,NA,3.9,26.82,76.5,0.666667,NA
"177",83309,"30/03/1961",1200,0,NA,22.4,NA,NA,NA,NA,NA,NA
"178",83309,"31/03/1961",0,NA,33.1,NA,NA,1.9,24.88,84.75,0.666667,NA
"179",83309,"31/03/1961",1200,37.2,NA,21.2,NA,NA,NA,NA,NA,NA
"180",83309,"01/04/1961",0,NA,33,NA,NA,2.4,25.68,79.5,2.333333,NA
"181",83309,"01/04/1961",1200,3.1,NA,21.2,NA,NA,NA,NA,NA,NA
"182",83309,"02/04/1961",0,NA,32.3,NA,NA,3.2,25.72,82.75,2.333333,NA
"183",83309,"02/04/1961",1200,2.5,NA,23,NA,NA,NA,NA,NA,NA
"184",83309,"03/04/1961",0,NA,32.4,NA,NA,2.1,25.66,78.75,2.333333,NA
